ticket_id,workstream,title,status,assignee_role,created_date,status_changed_date,due_date,blocked_by
REP-411,reporting,Drill-through from summary to detail,Open,Reporting engineer,2026-07-21,2026-07-21,2026-09-11,
REP-412,reporting,Add a data dictionary page,Open,Reporting engineer,2026-07-22,2026-07-22,2026-09-11,
REP-413,reporting,Rebuild the exceptions report on the new model,In progress,Reporting engineer,2026-07-22,2026-07-27,2026-09-04,
REP-414,reporting,Alerting when the refresh fails,Open,Reporting engineer,2026-07-24,2026-07-24,2026-09-18,
REP-415,reporting,Fix the rounding on the margin column,Done,Reporting engineer,2026-07-25,2026-07-27,2026-07-31,
REP-416,reporting,Historic load for the last two years,Open,Reporting engineer,2026-07-27,2026-07-27,2026-09-25,
REP-417,reporting,Mobile layout for the executive pack,Open,Reporting engineer,2026-07-28,2026-07-28,2026-09-25,
REP-418,reporting,Retention rules on the extract store,Open,Reporting engineer,2026-07-29,2026-07-29,2026-10-02,
REP-419,reporting,Usage instrumentation on published reports,In progress,Reporting engineer,2026-07-30,2026-08-03,2026-09-18,
REP-420,reporting,Deduplicate the customer dimension,Open,Reporting engineer,2026-08-01,2026-08-01,2026-10-02,
TST-501,test,Test data refresh procedure,Done,Test engineer,2026-06-13,2026-07-09,2026-07-10,
TST-502,test,Automated regression pack for the core journey,In progress,Test engineer,2026-06-20,2026-07-05,2026-08-07,
TST-503,test,Non-functional test plan,Open,Test lead,2026-06-27,2026-07-02,2026-08-14,
TST-504,test,End-to-end scenario using migrated data,Blocked,Test engineer,2026-07-01,2026-07-07,2026-08-21,DAT-304
TST-505,test,Defect triage process agreed,In progress,Test lead,2026-07-08,2026-07-16,2026-08-14,
TST-506,test,Environment provisioning for integration test,In progress,Test lead,2026-07-13,2026-07-22,2026-07-24,
TST-507,test,Accessibility checks on the primary journey,In progress,Test engineer,2026-07-17,2026-07-24,2026-09-04,
TST-508,test,UAT entry criteria signed off,Open,Test lead,2026-07-21,2026-07-21,2026-08-28,
TST-509,test,Performance baseline captured,In review,Test engineer,2026-07-24,2026-07-31,2026-09-11,
TST-510,test,UAT cycle two schedule confirmed,Open,Test lead,2026-07-29,2026-07-29,2026-09-18,
ADO-601,adoption,Stakeholder map for the first release,In progress,Adoption engineer,2026-06-24,2026-07-10,2026-08-14,
ADO-602,adoption,Training needs analysis,Open,Adoption lead,2026-06-30,2026-07-02,2026-08-07,
ADO-603,adoption,Draft the user guide,In progress,Adoption engineer,2026-07-06,2026-07-11,2026-08-21,
ADO-604,adoption,Comms plan for go-live,Open,Adoption lead,2026-07-13,2026-07-13,2026-08-28,
ADO-605,adoption,Super-user network confirmed,Open,Adoption engineer,2026-07-18,2026-07-18,2026-09-04,
ADO-606,adoption,Floorwalker rota for the first week,Open,Adoption engineer,2026-07-22,2026-07-22,2026-09-11,
ADO-607,adoption,Go-live pack assembled,In progress,Adoption lead,2026-07-29,2026-07-31,2026-09-18,
ADO-608,adoption,Feedback channel for the first two weeks,Open,Adoption engineer,2026-08-01,2026-08-01,2026-09-25,
